species,troph,troph_se
flabellosmilia bisinuata,2,NA
flabellosmilia subcarinata,2,NA
flabellum acutum,2,NA
flabellum alatum,2,NA
flabellum anderssoni,2,NA
flabellum antillarum,2,NA
flabellum appendiculatum,2,NA
flabellum asperum,2,NA
flabellum avicula,2,NA
flabellum basteroti,2,NA
flabellum bellardii,2,NA
flabellum calcitrapa,2,NA
flabellum chipolanum,2,NA
flabellum conoideum,2,NA
flabellum cristatum,2,NA
flabellum cuneatum,2,NA
flabellum cuneiforme,2,NA
flabellum curtum,2,NA
flabellum cylindraceum,2,NA
flabellum dufrenoyi,2,NA
flabellum duncani,2,NA
flabellum exaratum,2,NA
flabellum extensum,2,NA
flabellum fastigatum,2,NA
flabellum gambierense,2,NA
flabellum grangense,2,NA
flabellum hertleini,2,NA
flabellum hohei,2,NA
flabellum inornatum,2,NA
flabellum insulindae,2,NA
flabellum intermedium,2,NA
flabellum johnsoni,2,NA
flabellum laciniatum,2,NA
flabellum laticuneatum,2,NA
flabellum lerchi,2,NA
flabellum majus,2,NA
flabellum michelinii,2,NA
flabellum mortoni,2,NA
flabellum ovale,2,NA
flabellum pachyphyllum,2,NA
flabellum planus,2,NA
flabellum poseidonis,2,NA
flabellum roemeri,2,NA
flabellum roissyanum,2,NA
flabellum siciliense,2,NA
flabellum sinense,2,NA
flabellum striatum,2,NA
flabellum subturbinatum,2,NA
flabellum texense,2,NA
flabellum tuberculatum,2,NA
flabellum turgidum,2,NA
flabellum vaginale,2,NA
flabellum vaticani,2,NA
flabellum woodii,2,NA
flabellum angustum,2,NA
flabellum arcuatile,2,NA
flabellum areum,2,NA
flabellum atlanticum,2,NA
flabellum australe,2,NA
flabellum campanulatum,2,NA
flabellum chunii,2,NA
flabellum cinctutum,2,NA
flabellum curvatum,2,NA
flabellum flexuosum,2,NA
flabellum floridanum,2,NA
flabellum folkesoni,2,NA
flabellum galapagense,2,NA
flabellum gardineri,2,NA
flabellum impensum,2,NA
flabellum knoxi,2,NA
flabellum lamellulosum,2,NA
flabellum leptoconus,2,NA
flabellum magnificum,2,NA
flabellum ongulense,2,NA
flabellum patens,2,NA
flabellum pavoninum,2,NA
flabellum politum,2,NA
flabellum thouarsii,2,NA
flabellum vaughani,2,NA
flabellum alabastrum,2,NA
flabellum angulare,2,NA
flabellum aotearoa,2,NA
flabellum apertum,2,NA
flabellum conuis,2,NA
flabellum daphnense,2,NA
flabellum deludens,2,NA
flabellum hoffmeisteri,2,NA
flabellum kerguelensis,2,NA
flabellum lowekeyesi,2,NA
flabellum macandrewi,2,NA
flabellum marcus,2,NA
flabellum marenzelleri,2,NA
flabellum messum,2,NA
flabellum moseleyi,2,NA
flabellum sexcostatum,2,NA
flabellum tuthilli,2,NA
flagelligorgia gracilis,2,NA
florectisis rosetta,2,NA
flosmaris bathamae,2,NA
flosmaris grandis,2,NA
flosmaris mutsuensis,2,NA
flosmaris phellioides,2,NA
forcepia carteri,2,NA
forcepia vosmaeri,2,NA
forcepia agglutinans,2,NA
forcepia arenosa,2,NA
forcepia biceps,2,NA
forcepia colonensis,2,NA
forcepia crassanchorata,2,NA
forcepia dendyi,2,NA
forcepia elvini,2,NA
forcepia fabricans,2,NA
forcepia fistulosa,2,NA
forcepia forcipis,2,NA
forcepia foresti,2,NA
forcepia fragilis,2,NA
forcepia grandisigmata,2,NA
forcepia groenlandica,2,NA
forcepia hartmani,2,NA
forcepia hymena,2,NA
forcepia imperfecta,2,NA
forcepia japonica,2,NA
forcepia koltuni,2,NA
forcepia lissa,2,NA
forcepia lundbecki,2,NA
forcepia macrostylosa,2,NA
forcepia mertoni,2,NA
forcepia minima,2,NA
forcepia psammophila,2,NA
forcepia solustylota,2,NA
forcepia stephensi,2,NA
forcepia thielei,2,NA
forcepia topsentii,2,NA
forcepia toxafera,2,NA
forcepia trilabis,2,NA
forcepia vansoesti,2,NA
forcepia volsella,2,NA
forcepia acanthostylosa,2,NA
forcepia apuliae,2,NA
forcepia assimilis,2,NA
forcepia australis,2,NA
forcepia bilabifera,2,NA
forcepia brunnea,2,NA
forcepia convergens,2,NA
forcepia dentifera,2,NA
forcepia forcipula,2,NA
forcepia irritans,2,NA
forcepia luciensis,2,NA
forcepia megachela,2,NA
forcepia microlabis,2,NA
forcepia pustula,2,NA
forcepia tenuissima,2,NA
forcepia uschakowi,2,NA
forcepia vermicola,2,NA
fossulaster change,2,NA
fossulaster durhami,2,NA
fossulaster exiguus,2,NA
fossulaster halli,2,NA
foveolocyathus alternans,2,NA
foveolocyathus declivis,2,NA
foveolocyathus kitsoni,2,NA
foveolocyathus parkeri,2,NA
foveolocyathus verconis,2,NA
frescocyathus nagagreboensis,2,NA
frescocyathus tessieri,2,NA
fromentelligyra corallina,2,NA
fromentelligyra plicata,2,NA
fungia fungites,2,NA
fungia puishani,2,NA
fungia robusta,2,NA
fungiacyathus euaensis,2,NA
fungiacyathus antarticus,2,NA
fungiacyathus crispus,2,NA
fungiacyathus deltoidophorus,2,NA
fungiacyathus dennanti,2,NA
fungiacyathus eocaenica,2,NA
fungiacyathus fissidiscus,2,NA
fungiacyathus fissilis,2,NA
fungiacyathus granulosus,2,NA
fungiacyathus hydra,2,NA
fungiacyathus larseni,2,NA
fungiacyathus marenzelleri,2,NA
fungiacyathus margaretae,2,NA
fungiacyathus pliciseptus,2,NA
fungiacyathus pseudostephanus,2,NA
fungiacyathus sibogae,2,NA
fungiacyathus symmetricus,2,NA
fungiacyathus turbinolioides,2,NA
fungiacyathus variegatus,2,NA
fungiacyathus fragilis,2,NA
fungiacyathus multicarinatus,2,NA
fungiacyathus paliferus,2,NA
fungiacyathus pusillus,2,NA
fungiacyathus sandoi,2,NA
fungiacyathus stephanus,2,NA
fungiaphyllia communis,2,NA
funginus heimi,2,NA
fungophyllia aspera,2,NA
fungophyllia millepunctata,2,NA
fungophyllia monstrosa,2,NA
funiculina armata,2,NA
funiculina parkeri,2,NA
funiculina quadrangularis,2,NA
galatheanthemum hadale,2,NA
galatheanthemum profundale,2,NA
galatheathuria aspera,2,NA
galaxea acrhelia,2,NA
galaxea alta,2,NA
galaxea astreata,2,NA
galaxea cryptoramosa,2,NA
galaxea fascicularis,2,NA
galaxea haligena,2,NA
galaxea horrescens,2,NA
galaxea junghuhni,2,NA
galaxea lauensis,2,NA
galaxea longisepta,2,NA
galaxea pauciradiata,2,NA
galaxea paucisepta,2,NA
galaxia gaviotensis,2,NA
galeaster carinatus,2,NA
galeaster dagestanensis,2,NA
galeaster minor,2,NA
galeaster muntshiensis,2,NA
galeaster sumbaricus,2,NA
galeola cubatliensis,2,NA
galeola papillosa,2,NA
galeola papulosa,2,NA
galerites chovaresmicus,2,NA
galerites vulgaris,2,NA
galerites ernsti,2,NA
galerites schmidi,2,NA
gardineria hawaiiensis,2,NA
gardineria minor,2,NA
gardineria paradoxa,2,NA
gardineria philippinensis,2,NA
gardineria simojovelensis,2,NA
gardineria simplex,2,NA
gardineroseris planulata,2,NA
gastrophanella basaltica,2,NA
gastrophanella cavernicola,2,NA
gastrophanella implexa,2,NA
gastrophanella mammilliformis,2,NA
gastrophanella phoeniciensis,2,NA
gastrophanella primore,2,NA
gastrophanella stylifera,2,NA
gauthieria mosae,2,NA
gauthieria parva,2,NA
gauthieria sadeki,2,NA
gebrukothuria profundus,2,NA
gelliodes bifacialis,2,NA
gelliodes biformis,2,NA
gelliodes callista,2,NA
gelliodes carnosa,2,NA
gelliodes coscinopora,2,NA
gelliodes fayalensis,2,NA
gelliodes fibroreticulata,2,NA
gelliodes fibrosa,2,NA
gelliodes fibulata,2,NA
gelliodes fragilis,2,NA
gelliodes gracilis,2,NA
gelliodes incrustans,2,NA
gelliodes leucosolenia,2,NA
gelliodes licheniformis,2,NA
gelliodes luridus,2,NA
gelliodes macrosigma,2,NA
gelliodes nossibea,2,NA
gelliodes obtusa,2,NA
gelliodes persica,2,NA
gelliodes petrosioides,2,NA
gelliodes poculum,2,NA
gelliodes porosa,2,NA
gelliodes pumila,2,NA
gelliodes ramosa,2,NA
gelliodes setosa,2,NA
gelliodes spinosella,2,NA
gelliodes spongiosa,2,NA
gelliodes strongylofera,2,NA
gelliodes tenuirhabdus,2,NA
gelliodes truncata,2,NA
gelliodes tubulosa,2,NA
gelliodes wilsoni,2,NA
genabacia sanctimihieli,2,NA
genabacia stellifera,2,NA
genocidaris incerta,2,NA
genocidaris maculata,2,NA
geodia acanthylastra,2,NA
geodia agassizii,2,NA
geodia alba,2,NA
geodia amadaiba,2,NA
geodia amphistrongyla,2,NA
geodia anceps,2,NA
geodia angulata,2,NA
geodia apiarium,2,NA
geodia arabica,2,NA
geodia areolata,2,NA
geodia arma,2,NA
geodia arripiens,2,NA
geodia ataxastra,2,NA
geodia atlantica,2,NA
geodia auroristella,2,NA
geodia australis,2,NA
geodia barretti,2,NA
geodia basilea,2,NA
geodia berryi,2,NA
geodia bicolor,2,NA
geodia boesraugi,2,NA
geodia breviana,2,NA
geodia californica,2,NA
geodia campbellensis,2,NA
geodia canaliculata,2,NA
geodia carcinophila,2,NA
geodia carolae,2,NA
geodia carteri,2,NA
geodia chathamensis,2,NA
geodia cidaris,2,NA
geodia composita,2,NA
geodia conchilega,2,NA
geodia contorta,2,NA
geodia cooksoni,2,NA
geodia copiosa,2,NA
geodia cribrata,2,NA
geodia crustosa,2,NA
geodia cumulus,2,NA
geodia curacaoensis,2,NA
geodia cydonium,2,NA
geodia cylindrica,2,NA
geodia dendyi,2,NA
geodia depressa,2,NA
geodia distincta,2,NA
geodia dura,2,NA
geodia dysoni,2,NA
geodia echinastrella,2,NA
geodia eosaster,2,NA
geodia erinacea,2,NA
geodia ewok,2,NA
geodia exigua,2,NA
geodia flemingi,2,NA
geodia gallica,2,NA
geodia garoupa,2,NA
geodia geodina,2,NA
geodia gibberella,2,NA
geodia gibberosa,2,NA
geodia glariosa,2,NA
geodia globosa,2,NA
geodia globostellifera,2,NA
geodia globus,2,NA
geodia harpago,2,NA
geodia hentscheli,2,NA
geodia hilgendorfi,2,NA
geodia hirsuta,2,NA
geodia hyotania,2,NA
geodia imperfecta,2,NA
geodia inaequalis,2,NA
geodia inconspicua,2,NA
geodia isabella,2,NA
geodia japonica,2,NA
geodia jousseaumei,2,NA
geodia kermadecensis,2,NA
geodia kuekenthali,2,NA
geodia labyrinthica,2,NA
geodia lacunata,2,NA
geodia lebwohli,2,NA
geodia leosimi,2,NA
geodia libera,2,NA
geodia lindgreni,2,NA
geodia littoralis,2,NA
geodia lophotriaena,2,NA
geodia macandrewii,2,NA
geodia magellani,2,NA
geodia margarita,2,NA
geodia media,2,NA
geodia megaster,2,NA
geodia megastrella,2,NA
geodia mesotriaena,2,NA
geodia mesotriaenella,2,NA
geodia micraster,2,NA
geodia micropora,2,NA
geodia micropunctata,2,NA
geodia microspinosa,2,NA
geodia neptuni,2,NA
geodia nigra,2,NA
geodia nilslindgreni,2,NA
geodia nitida,2,NA
geodia nodastrella,2,NA
geodia nodosa,2,NA
geodia obscura,2,NA
geodia orthomesotriaena,2,NA
geodia ostracomorpha,2,NA
geodia ovifractus,2,NA
geodia ovis,2,NA
geodia oxyastra,2,NA
geodia pachydermata,2,NA
geodia papyracea,2,NA
geodia parasitica,2,NA
geodia parva,2,NA
geodia paupera,2,NA
geodia perarmata,2,NA
geodia pergamentacea,2,NA
geodia peruncinata,2,NA
geodia philippinensis,2,NA
geodia phlegraei,2,NA
geodia picteti,2,NA
geodia placenta,2,NA
geodia pleiades,2,NA
geodia pocillum,2,NA
geodia poculata,2,NA
geodia polytriaena,2,NA
geodia praelonga,2,NA
geodia punctata,2,NA
geodia ramodigitata,2,NA
geodia ramosa,2,NA
geodia regina,2,NA
geodia reniformis,2,NA
geodia reticulata,2,NA
geodia rex,2,NA
geodia riograndensis,2,NA
geodia robusta,2,NA
geodia rovinjensis,2,NA
geodia sadiemillsae,2,NA
geodia sagitta,2,NA
geodia senegalensis,2,NA
geodia sollasi,2,NA
geodia sparsa,2,NA
geodia sphaeroides,2,NA
geodia sphaerulifer,2,NA
geodia spheranthastra,2,NA
geodia spherastrea,2,NA
geodia spherastrella,2,NA
geodia spherastrosa,2,NA
geodia splendida,2,NA
geodia starki,2,NA
geodia stellata,2,NA
geodia stellosa,2,NA
geodia stromatodes,2,NA
geodia sulcata,2,NA
geodia tenera,2,NA
geodia thomsonii,2,NA
geodia tuberculosa,2,NA
geodia tuberosa,2,NA
geodia tumulosa,2,NA
geodia tylastra,2,NA
geodia ulleungensis,2,NA
geodia vadi,2,NA
geodia variospiculosa,2,NA
geodia vaubani,2,NA
geodia vestigifera,2,NA
geodia vosmaeri,2,NA
geodia williami,2,NA
gephyrothuria alcocki,2,NA
geroastrea alexi,2,NA
gersemia antarctica,2,NA
gersemia clavata,2,NA
gersemia crassa,2,NA
gersemia danielsseni,2,NA
gersemia fruticosa,2,NA
gersemia hicksoni,2,NA
gersemia japonica,2,NA
gersemia juliepackardae,2,NA
gersemia lambi,2,NA
gersemia liltvedi,2,NA
gersemia loricata,2,NA
gersemia marenzelleri,2,NA
gersemia mirabilis,2,NA
gersemia rubiformis,2,NA
gersemia subtilus,2,NA
gersemia uvaeformis,2,NA
ghirobocyathus lagaensis,2,NA
gilibelemnon octodentatum,2,NA
gillismilia fromenteli,2,NA
giraliaster bellissae,2,NA
giraliaster jubileensis,2,NA
glandulactis spetsbergensis,2,NA
gliactis crassa,2,NA
globator dainellii,2,NA
globator depsangensis,2,NA
globator minimus,2,NA
globator ravni,2,NA
globator vaughani,2,NA
globosita argus,2,NA
globosita dobsoni,2,NA
globosita elnazae,2,NA
globosita murrea,2,NA
glossaster welschi,2,NA
glyphoperidium bursa,2,NA
glypticus buxtorfi,2,NA
glypticus hieroglyphicus,2,NA
glypticus icaunense,2,NA
glyptocidaris crenularis,2,NA
glyptocidaris arctina,2,NA
gonactinia prolifera,2,NA
gongrochanus acutus,2,NA
gongrochanus ariyalurensis,2,NA
gongrochanus chiplonkari,2,NA
gongrochanus circularis,2,NA
gongrochanus kieri,2,NA
gongrochanus ottakoviensis,2,NA
gongrochanus stoliczkai,2,NA
gongrochanus tamilnaduensis,2,NA
goniastrea canalis,2,NA
goniastrea columella,2,NA
goniastrea crassa,2,NA
goniastrea curasavica,2,NA
goniastrea edwardsi,2,NA
goniastrea favulus,2,NA
goniastrea longula,2,NA
goniastrea minuta,2,NA
goniastrea muralis,2,NA
goniastrea pectinata,2,NA
goniastrea ramosa,2,NA
goniastrea retiformis,2,NA
goniastrea stelligera,2,NA
goniastrea thecata,2,NA
goniastrea trinitatis,2,NA
goniastrea variabilis,2,NA
goniocidaris comptoni,2,NA
goniocidaris corona,2,NA
goniocidaris habanensis,2,NA
goniocidaris hebe,2,NA
goniocidaris holguinensis,2,NA
goniocidaris impressa,2,NA
goniocidaris magi,2,NA
goniocidaris mortenseni,2,NA
goniocidaris murrayensis,2,NA
goniocidaris noetlingi,2,NA
goniocidaris paraplu,2,NA
goniocidaris praecipua,2,NA
goniocidaris pusilla,2,NA
goniocidaris alba,2,NA
goniocidaris australiae,2,NA
goniocidaris clypeata,2,NA
goniocidaris crassa,2,NA
goniocidaris fimbriata,2,NA
goniocidaris parasol,2,NA
goniocidaris sibogae,2,NA
goniocidaris tenuispina,2,NA
goniocidaris mikado,2,NA
goniocidaris peltata,2,NA
goniocidaris balinensis,2,NA
goniocidaris indica,2,NA
goniocidaris tubaria,2,NA
goniocidaris umbraculum,2,NA
goniocidaris biserialis,2,NA
goniocidaris florigera,2,NA
goniocidaris spinosa,2,NA
goniocora concinna,2,NA
goniocora socialis,2,NA
goniocorella dumosa,2,NA
goniocorella eguchii,2,NA
goniodiadema mauritiense,2,NA
goniophorus scotti,2,NA
goniophorus whitneyi,2,NA
goniopneustes pentagonus,2,NA
goniopora affinis,2,NA
goniopora albiconus,2,NA
goniopora aldrichi,2,NA
goniopora andersoni,2,NA
goniopora anomala,2,NA
goniopora arbuscula,2,NA
goniopora burgosi,2,NA
goniopora calhounensis,2,NA
goniopora calicularis,2,NA
goniopora cellulosa,2,NA
goniopora chevalieri,2,NA
goniopora christianaensis,2,NA
goniopora ciliatus,2,NA
goniopora columna,2,NA
goniopora copoyensis,2,NA
goniopora decaturensis,2,NA
goniopora diminuta,2,NA
goniopora djiboutiensis,2,NA
goniopora eclipsensis,2,NA
goniopora elegans,2,NA
goniopora faberi,2,NA
goniopora fruticosa,2,NA
goniopora granulosa,2,NA
goniopora hedbergi,2,NA
goniopora hilli,2,NA
goniopora imperatoris,2,NA
goniopora lobata,2,NA
goniopora nomlandi,2,NA
goniopora norfolkensis,2,NA
goniopora paliformis,2,NA
goniopora palmensis,2,NA
goniopora panamensis,2,NA
goniopora pandoraensis,2,NA
goniopora pearsoni,2,NA
goniopora pedunculata,2,NA
goniopora pendulus,2,NA
goniopora petiolata,2,NA
goniopora planulata,2,NA
goniopora polyformis,2,NA
goniopora regularis,2,NA
goniopora reussiana,2,NA
goniopora savignyi,2,NA
goniopora somaliensis,2,NA
goniopora stokesi,2,NA
goniopora sultani,2,NA
goniopora taberi,2,NA
goniopora tantillus,2,NA
goniopora tenella,2,NA
goniopora tenuidens,2,NA
goniopora trechmanni,2,NA
goniopora vaughani,2,NA
goniopora websteri,2,NA
goniopygus ameri,2,NA
goniopygus arabicus,2,NA
goniopygus atavus,2,NA
goniopygus bolaensis,2,NA
goniopygus coutini,2,NA
goniopygus cubanus,2,NA
goniopygus jeanneti,2,NA
goniopygus lamberti,2,NA
goniopygus lemoinei,2,NA
goniopygus madrugensis,2,NA
goniopygus minor,2,NA
goniopygus royoi,2,NA
goniopygus sanchezi,2,NA
goniopygus stocktonensis,2,NA
goniopygus supremus,2,NA
goniopygus whitneyi,2,NA
goniopygus zitteli,2,NA
gonioseris angulata,2,NA
goniosigma murrayensis,2,NA
goniosigma singletoni,2,NA
goniosigma tasmanensis,2,NA
goreauiella auriculata,2,NA
gorgonia clathrus,2,NA
gorgonia coarctata,2,NA
gorgonia flabellum,2,NA
gorgonia flavescens,2,NA
gorgonia gracilis,2,NA
gorgonia mariae,2,NA
gorgonia reticulum,2,NA
gorgonia ventalina,2,NA
gorgonia venusta,2,NA
gorgonisis elyakovi,2,NA
gosaviaraea aimeae,2,NA
gosaviaraea camerina,2,NA
gosaviaraea cladophora,2,NA
gosaviaraea lithodes,2,NA
gracilechinus acutus,2,NA
gracilechinus affinis,2,NA
gracilechinus alexandri,2,NA
gracilechinus atlanticus,2,NA
gracilechinus elegans,2,NA
gracilechinus euryporus,2,NA
gracilechinus gracilis,2,NA
gracilechinus lucidus,2,NA
gracilechinus multidentatus,2,NA
gracilechinus stenoporus,2,NA
gracilechinus tylodes,2,NA
granobrissoides dyscritus,2,NA
granobrissoides hirsutus,2,NA
granopatagus lonchophorus,2,NA
graphularia longissima,2,NA
grasshoffia profundica,2,NA
grasshoffia virgularioides,2,NA
gravieropsammia cornucopiae,2,NA
gregoria fenestrata,2,NA
grumiphyllia diploctenium,2,NA
guaiagorgia anas,2,NA
gualtieria alicantina,2,NA
gualtieria grossouveri,2,NA
guembelastraea dronovi,2,NA
guembelastraea guembeli,2,NA
guettaria fecunda,2,NA
guettaria schamchorensis,2,NA
guitarra abbotti,2,NA
guitarra antarctica,2,NA
guitarra bipocillifera,2,NA
guitarra davidconryi,2,NA
guitarra dendyi,2,NA
guitarra exoclavata,2,NA
guitarra fimbriata,2,NA
guitarra flamenca,2,NA
guitarra indica,2,NA
guitarra isabellae,2,NA
guitarra laplani,2,NA
guitarra novaezealandiae,2,NA
guitarra sepia,2,NA
guitarra sigmatifera,2,NA
guitarra solorzanoi,2,NA
guitarra voluta,2,NA
guynia adherens,2,NA
guynia annulata,2,NA
gymnanthula sennai,2,NA
gymnechinus abnormalis,2,NA
gymnechinus epistichus,2,NA
gymnechinus pulchellus,2,NA
gymnechinus robillardi,2,NA
gymnopatagus magnus,2,NA
gymnopatagus parvipetalus,2,NA
gymnopatagus valdiviae,2,NA
gymnophellia hutchingsae,2,NA
gymnopipina ikamiaba,2,NA
gymnotiara kuhni,2,NA
gyractis sesere,2,NA
gyractis spenceri,2,NA
gyrodendron leptonema,2,NA
gyrophyllum hirondellei,2,NA
gyrophyllum sibogae,2,NA
gyroseris patellaris,2,NA
gyrosmilia diadema,2,NA
gyrosmilia interrupta,2,NA
gyrostoma dubium,2,NA
gyrostoma dysancritum,2,NA
gyrostoma euchlorum,2,NA
gyrostoma incertum,2,NA
gyrostoma inequale,2,NA
gyrostoma monodi,2,NA
gyrostoma sanctithomae,2,NA
gyrostoma selkirkii,2,NA
gyrostoma stimpsonii,2,NA
gyrostoma triste,2,NA
gyrostoma tulearense,2,NA
habrocidaris argentea,2,NA
habrocidaris scutata,2,NA
habrosanthus bathamae,2,NA
hadaka nudidomis,2,NA
hadalanthus knudseni,2,NA
hadrophyllia saundersi,2,NA
hagenowia blackmorei,2,NA
hagenowia elongata,2,NA
hagenowia infulasteroides,2,NA
hagenowia rostrata,2,NA
haimea bajasurensis,2,NA
haimea camagueyana,2,NA
haimea cylindrica,2,NA
haimea gigantea,2,NA
haimea globulosa,2,NA
haimea hernandezi,2,NA
haimea pentagona,2,NA
haimea pusilla,2,NA
haimea rojasi,2,NA
haimea subcylindrica,2,NA
haimea truncata,2,NA
haimesiastraea anchistina,2,NA
haimesiastraea conferta,2,NA
halcampa abtaoensis,2,NA
halcampa arctica,2,NA
halcampa capensis,2,NA
halcampa chrysanthellum,2,NA
halcampa crypta,2,NA
halcampa decemtentaculata,2,NA
halcampa duodecimcirrata,2,NA
halcampa medusophila,2,NA
halcampa octocirrata,2,NA
halcampa vegae,2,NA
halcampactis dubia,2,NA
halcampactis mirabilis,2,NA
halcampaster teres,2,NA
halcampella fasciata,2,NA
halcampella maxima,2,NA
halcampella robusta,2,NA
halcampogeton papillosus,2,NA
halcampoides abyssorum,2,NA
halcampoides elongatus,2,NA
halcampoides purpureus,2,NA
halcampulactis solimar,2,NA
halcurias capensis,2,NA
halcurias carlgreni,2,NA
halcurias endocoelactis,2,NA
halcurias mcmurrichi,2,NA
halcurias minimus,2,NA
halcurias pilatus,2,NA
halcurias sudanensis,2,NA
haldonia schindewolfi,2,NA
haldonia vicarya,2,NA
haliactis arctica,2,NA
halianthella annularis,2,NA
halianthella kerguelensis,2,NA
halichondria flava,2,NA
halichondria hongdoenesis,2,NA
halichondria kelleri,2,NA
halichondria lona,2,NA
halichondria magellanica,2,NA
halichondria ulleungensis,2,NA
halichondria attenuata,2,NA
halichondria maraensis,2,NA
halichondria schmidti,2,NA
halichondria sitiens,2,NA
halichondria adelpha,2,NA
halichondria agglomerans,2,NA
halichondria aldabrensis,2,NA
halichondria almae,2,NA
halichondria arenacea,2,NA
halichondria arenosa,2,NA
halichondria axinelloides,2,NA
halichondria bowerbanki,2,NA
halichondria brondstedi,2,NA
halichondria brunnea,2,NA
halichondria cancellosa,2,NA
halichondria capensis,2,NA
halichondria carotenoidea,2,NA
halichondria cartilaginea,2,NA
halichondria cebimarensis,2,NA
halichondria coerulea,2,NA
halichondria colossea,2,NA
halichondria contorta,2,NA
halichondria convolvens,2,NA
halichondria cornuloides,2,NA
halichondria cristata,2,NA
halichondria cylindrata,2,NA
halichondria darwinensis,2,NA
halichondria diazae,2,NA
halichondria diversispiculata,2,NA
halichondria dubia,2,NA
halichondria elenae,2,NA
halichondria fallax,2,NA
halichondria flexuosa,2,NA
halichondria foetida,2,NA
halichondria foraminosa,2,NA
halichondria fragilis,2,NA
halichondria gageoenesis,2,NA
halichondria genitrix,2,NA
halichondria gilvus,2,NA
halichondria glabrata,2,NA
halichondria heterorrhaphis,2,NA
halichondria intermedia,2,NA
halichondria isthmica,2,NA
halichondria japonica,2,NA
halichondria knowltoni,2,NA
halichondria labiata,2,NA
halichondria lambei,2,NA
halichondria lendenfeldi,2,NA
halichondria leuconoides,2,NA
halichondria longispicula,2,NA
halichondria lutea,2,NA
halichondria magniconulosa,2,NA
halichondria marianae,2,NA
halichondria melanadocia,2,NA
halichondria membranacea,2,NA
halichondria microbiana,2,NA
halichondria migottea,2,NA
halichondria minuta,2,NA
halichondria modesta,2,NA
halichondria moorei,2,NA
halichondria muanensis,2,NA
halichondria nigrocutis,2,NA
halichondria normani,2,NA
halichondria oblonga,2,NA
halichondria okadai,2,NA
halichondria osculum,2,NA
halichondria oshoro,2,NA
halichondria oxiparva,2,NA
halichondria panicea,2,NA
halichondria papillaris,2,NA
halichondria pelliculata,2,NA
halichondria phakellioides,2,NA
halichondria poa,2,NA
halichondria pontica,2,NA
halichondria prostrata,2,NA
halichondria punctata,2,NA
halichondria renieroides,2,NA
halichondria semitubulosa,2,NA
halichondria solidior,2,NA
halichondria stylata,2,NA
halichondria suberosa,2,NA
halichondria sulfurea,2,NA
halichondria surrubicunda,2,NA
halichondria syringea,2,NA
halichondria tenebrica,2,NA
halichondria tenuiramosa,2,NA
halichondria tenuispiculata,2,NA
halichondria turritella,2,NA
halichondria velamentosa,2,NA
haliclona acoroides,2,NA
haliclona agglutinata,2,NA
haliclona alba,2,NA
haliclona amphioxa,2,NA
haliclona aperta,2,NA
haliclona arctica,2,NA
haliclona arenosa,2,NA
haliclona baeri,2,NA
haliclona bawiana,2,NA
haliclona bergquistae,2,NA
haliclona bilamellata,2,NA
haliclona boutschinskii,2,NA
haliclona bucina,2,NA
haliclona bulbifera,2,NA
haliclona calamus,2,NA
haliclona cancellata,2,NA
haliclona carteri,2,NA
haliclona catarinensis,2,NA
haliclona cavernosa,2,NA
haliclona cerebrum,2,NA
haliclona clara,2,NA
haliclona cnidata,2,NA
haliclona columbae,2,NA
haliclona corticata,2,NA
haliclona cribrata,2,NA
haliclona cribrosa,2,NA
haliclona curiosa,2,NA
haliclona cylindrigera,2,NA
haliclona daepoensis,2,NA
haliclona decidua,2,NA
haliclona delicatula,2,NA
haliclona dendrilla,2,NA
haliclona densa,2,NA
haliclona densaspicula,2,NA
haliclona digitata,2,NA
haliclona divulgata,2,NA
haliclona djeedara,2,NA
haliclona durdong,2,NA
haliclona elegans,2,NA
haliclona ellipsis,2,NA
haliclona enormismacula,2,NA
haliclona ernsthentscheli,2,NA
haliclona ernsti,2,NA
haliclona eterospiculata,2,NA
haliclona fibulifera,2,NA
haliclona filholi,2,NA
haliclona firma,2,NA
haliclona flabellodigitata,2,NA
haliclona flaccida,2,NA
haliclona flava,2,NA
haliclona flavescens,2,NA
haliclona foliacea,2,NA
haliclona folium,2,NA
haliclona foraminosa,2,NA
haliclona forcellata,2,NA
haliclona fragilis,2,NA
haliclona frondosa,2,NA
haliclona fryetti,2,NA
haliclona gemina,2,NA
haliclona glabra,2,NA
haliclona globosa,2,NA
haliclona gracilis,2,NA
haliclona groenlandica,2,NA
haliclona hebes,2,NA
haliclona henrycarteri,2,NA
haliclona hirsuta,2,NA
haliclona hornelli,2,NA
haliclona hoshinoi,2,NA
haliclona hydroida,2,NA
haliclona ignobilis,2,NA
haliclona inepta,2,NA
haliclona inflata,2,NA
haliclona informis,2,NA
haliclona infundibuliformis,2,NA
haliclona innominata,2,NA
haliclona irregularis,2,NA
haliclona isodictyalis,2,NA
haliclona kaikoura,2,NA
haliclona kirkpatricki,2,NA
haliclona korema,2,NA
haliclona koremella,2,NA
haliclona labyrinthica,2,NA
haliclona lendenfeldi,2,NA
haliclona lentus,2,NA
haliclona leopoldbaeri,2,NA
haliclona levii,2,NA
haliclona liber,2,NA
haliclona lilacea,2,NA
haliclona lobosa,2,NA
haliclona lutea,2,NA
haliclona macropora,2,NA
haliclona macrorhaphis,2,NA
haliclona madagascarensis,2,NA
haliclona madrepora,2,NA
haliclona maxima,2,NA
haliclona merejkowskii,2,NA
haliclona minima,2,NA
haliclona mollicula,2,NA
haliclona mollis,2,NA
