species,value,trait
pseudorasbora parva,2,age to maturity
pseudorasbora parva,1,age to maturity
pseudoscaphirhynchus kaufmanni,4.886031559251785,age to maturity
pseudupeneus prayensis,1.0520813112363052,age to maturity
pterapogon kauderni,0.8299999833106995,age to maturity
pterapogon kauderni,1,age to maturity
pterocaesio digramma,2.0940135253936223,age to maturity
pterocaesio digramma,2.0940135253936223,age to maturity
pterogobius zacalles,1,age to maturity
pterogymnus laniarius,4.188027050787245,age to maturity
pterogymnus laniarius,4,age to maturity
pungitius laevis,1.3151016194488403,age to maturity
pungitius platygaster,1.3151016194488403,age to maturity
pungitius pungitius,1.3960090169290815,age to maturity
pungitius pungitius,1.3960090169290815,age to maturity
pungitius pungitius,1.3960090169290815,age to maturity
pungitius pungitius,0.39453050151188507,age to maturity
pygocentrus nattereri,1.3151016194488403,age to maturity
pylodictis olivaris,4.188027050787245,age to maturity
pylodictis olivaris,3.490022542322704,age to maturity
pylodictis olivaris,3.490022542322704,age to maturity
rachycentron canadum,3.945304858346521,age to maturity
rachycentron canadum,2.6302032388976806,age to maturity
raja brachyura,9,age to maturity
raja brachyura,14,age to maturity
raja brachyura,10,age to maturity
raja clavata,10,age to maturity
raja clavata,11,age to maturity
raja clavata,9,age to maturity
raja clavata,7,age to maturity
raja clavata,6.130000114440918,age to maturity
raja clavata,6.130000114440918,age to maturity
raja clavata,5.300000190734863,age to maturity
raja clavata,3.900000095367432,age to maturity
raja montagui,8,age to maturity
raja montagui,4.150000095367432,age to maturity
raja montagui,3.4000000953674316,age to maturity
raja undulata,6.980045084645408,age to maturity
raja undulata,6.980045084645408,age to maturity
raja undulata,8.979999542236328,age to maturity
raja undulata,7.659999847412109,age to maturity
rastrelliger kanagurta,1,age to maturity
rastrelliger kanagurta,0.5580000281333923,age to maturity
rastrelliger kanagurta,0.5419999957084656,age to maturity
reinhardtius hippoglossoides,6.980045084645408,age to maturity
reinhardtius hippoglossoides,8.37605410157449,age to maturity
reinhardtius hippoglossoides,9.600000381469728,age to maturity
reinhardtius hippoglossoides,10.800000190734863,age to maturity
reinhardtius hippoglossoides,12,age to maturity
reinhardtius hippoglossoides,9,age to maturity
reinhardtius hippoglossoides,7.678049593109948,age to maturity
reinhardtius hippoglossoides,5.584036067716326,age to maturity
reinhardtius hippoglossoides,9,age to maturity
reinhardtius hippoglossoides,7,age to maturity
retropinna semoni,1,age to maturity
rexea solandri,6.575508097244202,age to maturity
rexea solandri,5.260406477795361,age to maturity
rexea solandri,4.188027050787245,age to maturity
rexea solandri,3.490022542322704,age to maturity
rhabdosargus globiceps,2.6302032388976806,age to maturity
rhabdosargus sarba,2.0999999046325684,age to maturity
rhabdosargus sarba,2,age to maturity
rhacochilus vacca,2.5,age to maturity
rhodeus amarus,2,age to maturity
rhodeus amarus,1.3151016194488403,age to maturity
rhodeus sericeus,2.6302032388976806,age to maturity
rhodeus sericeus,2.0940135253936223,age to maturity
rhodeus sericeus,2,age to maturity
rhomboplites aurorubens,3.945304858346521,age to maturity
salmo rhodanensis,5.260406477795361,age to maturity
salmo salar,5,age to maturity
salmo salar,3,age to maturity
salmo salar,0.800000011920929,age to maturity
salmo salar,5,age to maturity
salmo salar,2.792018033858163,age to maturity
salmo salar,5.199999809265137,age to maturity
salmo salar,4.900000095367432,age to maturity
salmo salar,2.792018033858163,age to maturity
salmo salar,4.300000190734863,age to maturity
salmo salar,2.0940135253936223,age to maturity
salmo salar,4,age to maturity
salmo salar,4.188027050787245,age to maturity
salmo salar,4.886031559251785,age to maturity
salmo salar,2.792018033858163,age to maturity
salmo salar,5.199999809265137,age to maturity
salmo salar,4.800000190734863,age to maturity
salmo salar,3.900000095367432,age to maturity
salmo salar,3.490022542322704,age to maturity
salmo salar,4.886031559251785,age to maturity
rhinichthys cataractae,3,age to maturity
rhinichthys cataractae,2.6302032388976806,age to maturity
rhinogobius cliffordpopei,0.33000001311302185,age to maturity
rhinogobius giurinus,0.38999998569488525,age to maturity
rhinoptera bonasus,4.5,age to maturity
rhinoptera bonasus,4.5,age to maturity
rhizoprionodon taylori,1.3151016194488403,age to maturity
rhizoprionodon taylori,1.3151016194488403,age to maturity
rhizoprionodon taylori,0.9300000071525574,age to maturity
rhizoprionodon taylori,0.5,age to maturity
rhizoprionodon terraenovae,1.9544125904172656,age to maturity
rhizoprionodon terraenovae,1.6752108868817952,age to maturity
rhizoprionodon terraenovae,4,age to maturity
rhizoprionodon terraenovae,4,age to maturity
rhizoprionodon terraenovae,2.0940135253936223,age to maturity
rhoadsia altipinna,0.9205711179369552,age to maturity
rhynchocypris percnurus,2,age to maturity
rhynchocypris percnurus,2.0940135253936223,age to maturity
romanogobio albipinnatus,2.6302032388976806,age to maturity
romanogobio belingi,2.6302032388976806,age to maturity
romanogobio benacensis,1.3960090169290815,age to maturity
romanogobio kesslerii,1.3960090169290815,age to maturity
romanogobio tanaiticus,2.6302032388976806,age to maturity
romanogobio tenuicorpus,3,age to maturity
romanogobio vladykovi,2.6302032388976806,age to maturity
roncador stearnsii,2.5,age to maturity
rostroraja eglanteria,4.188027050787245,age to maturity
rostroraja eglanteria,2.792018033858163,age to maturity
rudarius ercodes,1,age to maturity
rutilus caspicus,3.490022542322704,age to maturity
rutilus frisii,3.490022542322704,age to maturity
rutilus pigus,2.0940135253936223,age to maturity
rutilus rutilus,4.188027050787245,age to maturity
rutilus rutilus,2.792018033858163,age to maturity
rutilus rutilus,3,age to maturity
rutilus rutilus,2,age to maturity
rutilus rutilus,3.490022542322704,age to maturity
rutilus rutilus,2.0940135253936223,age to maturity
rutilus rutilus,3.945304858346521,age to maturity
rutilus rutilus,3.945304858346521,age to maturity
rutilus rutilus,2.792018033858163,age to maturity
sabanejewia balcanica,2.5,age to maturity
sabanejewia balcanica,2.5,age to maturity
sabanejewia larvata,2,age to maturity
salaria fluviatilis,1.3151016194488403,age to maturity
salminus brasiliensis,3.945304858346521,age to maturity
salminus brasiliensis,2.6302032388976806,age to maturity
salmo carpio,3.945304858346521,age to maturity
salmo carpio,2.6302032388976806,age to maturity
salmo cenerinus,3.945304858346521,age to maturity
salmo cenerinus,2.6302032388976806,age to maturity
salmo ezenami,3.945304858346521,age to maturity
salmo ezenami,2.6302032388976806,age to maturity
salmo letnica,4.188027050787245,age to maturity
salmo macrostigma,2.792018033858163,age to maturity
salmo macrostigma,2.0940135253936223,age to maturity
salmo marmoratus,5.260406477795361,age to maturity
salmo marmoratus,3.945304858346521,age to maturity
salmo marmoratus,3.945304858346521,age to maturity
salmo marmoratus,2.6302032388976806,age to maturity
salmo trutta,5.260406477795361,age to maturity
salmo trutta,3.945304858346521,age to maturity
salmo trutta,2.0940135253936223,age to maturity
salmo trutta,2,age to maturity
salmo trutta,5,age to maturity
salmo trutta,4,age to maturity
salmo trutta,2.792018033858163,age to maturity
salmo trutta,3,age to maturity
salmo trutta,4.188027050787245,age to maturity
salmo trutta,3.490022542322704,age to maturity
salmo trutta,3.5,age to maturity
salmo trutta,4.400000095367432,age to maturity
salmo trutta,4,age to maturity
salmo trutta,2.5,age to maturity
salmo trutta,3.5,age to maturity
salmo trutta,4.199999809265137,age to maturity
salmo trutta,3.799999952316284,age to maturity
salmo trutta,3.0999999046325684,age to maturity
salmo trutta,3.200000047683716,age to maturity
salmo trutta,3.200000047683716,age to maturity
salmo trutta,1.7999999523162842,age to maturity
salmo trutta,3.5999999046325684,age to maturity
salmo trutta,4.339835281472241,age to maturity
salmo trutta,2.5999999046325684,age to maturity
salmo trutta,3.490022542322704,age to maturity
salmo trutta,0.800000011920929,age to maturity
salmo trutta,1.1200000047683716,age to maturity
salmo trutta,0.7099999785423279,age to maturity
salmo trutta,2,age to maturity
salmo trutta,2,age to maturity
salmo trutta,1,age to maturity
salmo trutta,2,age to maturity
salmo trutta,2,age to maturity
salmo trutta,2,age to maturity
salmo trutta,2,age to maturity
salmo trutta,2,age to maturity
salmo trutta,2,age to maturity
salmo trutta,1,age to maturity
salmo trutta,2,age to maturity
salmo trutta,2,age to maturity
salmo trutta,1,age to maturity
salmo trutta,1,age to maturity
salmo trutta,1.3960090169290815,age to maturity
salmo trutta,3.490022542322704,age to maturity
salmo trutta,2.792018033858163,age to maturity
salmo trutta,3.490022542322704,age to maturity
salmo trutta,2.792018033858163,age to maturity
salmo trutta,3.945304858346521,age to maturity
salmo trutta,3.945304858346521,age to maturity
salmo trutta,2.5,age to maturity
salmo trutta,3.490022542322704,age to maturity
salmo trutta,2.792018033858163,age to maturity
salmo trutta,2.0940135253936223,age to maturity
salmo trutta,2.792018033858163,age to maturity
salmo trutta,2.0940135253936223,age to maturity
salmo trutta,2.5,age to maturity
salmo trutta,4.886031559251785,age to maturity
salmo trutta,4.188027050787245,age to maturity
salvelinus alpinus,6.980045084645408,age to maturity
salvelinus alpinus,3.490022542322704,age to maturity
salvelinus alpinus,10,age to maturity
salvelinus alpinus,6.900000095367432,age to maturity
salvelinus alpinus,4.188027050787245,age to maturity
salvelinus alpinus,6.980045084645408,age to maturity
salvelinus alpinus,2.792018033858163,age to maturity
salvelinus fontinalis,2.0940135253936223,age to maturity
salvelinus fontinalis,1.3960090169290815,age to maturity
salvelinus fontinalis,1.3960090169290815,age to maturity
salvelinus fontinalis,2.792018033858163,age to maturity
salvelinus fontinalis,2.0940135253936223,age to maturity
salvelinus lepechini,4.188027050787245,age to maturity
salvelinus leucomaenis,3.945304858346521,age to maturity
salvelinus malma,6.575508097244202,age to maturity
salvelinus malma,3.945304858346521,age to maturity
salvelinus malma,4,age to maturity
salvelinus murta,4.188027050787245,age to maturity
salvelinus namaycush,4.886031559251785,age to maturity
salvelinus namaycush,9.07405861003903,age to maturity
salvelinus namaycush,10.470067626968111,age to maturity
salvelinus namaycush,9.77206311850357,age to maturity
salvelinus namaycush,10.470067626968111,age to maturity
salvelinus namaycush,13.960090169290815,age to maturity
salvelinus namaycush,8,age to maturity
salvelinus namaycush,12,age to maturity
salvelinus namaycush,8,age to maturity
salvelinus namaycush,9,age to maturity
salvelinus namaycush,10,age to maturity
salvelinus namaycush,6,age to maturity
salvelinus namaycush,5,age to maturity
salvelinus namaycush,7,age to maturity
salvelinus namaycush,11,age to maturity
salvelinus namaycush,8,age to maturity
salvelinus namaycush,14,age to maturity
salvelinus namaycush,4,age to maturity
salvelinus namaycush,6,age to maturity
salvelinus namaycush,8.300000190734863,age to maturity
salvelinus namaycush,4.886031559251785,age to maturity
salvelinus namaycush,4.886031559251785,age to maturity
salvelinus namaycush,5.584036067716326,age to maturity
salvelinus namaycush,4.886031559251785,age to maturity
salvelinus namaycush,11.835914575039563,age to maturity
salvelinus thingvallensis,2.792018033858163,age to maturity
salvelinus umbla,2.0940135253936223,age to maturity
sandelia bainsii,2.6302032388976806,age to maturity
sandelia bainsii,2.6302032388976806,age to maturity
sandelia bainsii,2.6302032388976806,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,3.490022542322704,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,2.0940135253936223,age to maturity
sander lucioperca,2,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,6.282040576180867,age to maturity
sander lucioperca,4.188027050787245,age to maturity
sander lucioperca,5,age to maturity
sander lucioperca,5,age to maturity
sander lucioperca,2,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,5,age to maturity
sander lucioperca,6.282040576180867,age to maturity
sander lucioperca,3.490022542322704,age to maturity
sander lucioperca,5.584036067716326,age to maturity
sander lucioperca,6.980045084645408,age to maturity
sander lucioperca,4.886031559251785,age to maturity
sander lucioperca,1.3960090169290815,age to maturity
sander lucioperca,1.3960090169290815,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,6.282040576180867,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,4.886031559251785,age to maturity
sander lucioperca,4.188027050787245,age to maturity
sander lucioperca,3.490022542322704,age to maturity
sander lucioperca,2,age to maturity
sander lucioperca,2.6302032388976806,age to maturity
sander lucioperca,2,age to maturity
sander lucioperca,2.0940135253936223,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,2.0940135253936223,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,5.584036067716326,age to maturity
sander lucioperca,3.490022542322704,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,2,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,5.584036067716326,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,4.886031559251785,age to maturity
sander lucioperca,6.282040576180867,age to maturity
sander lucioperca,4.188027050787245,age to maturity
sander lucioperca,1.3960090169290815,age to maturity
sander lucioperca,1.3960090169290815,age to maturity
sander lucioperca,2.0940135253936223,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,5.584036067716326,age to maturity
sander lucioperca,2.0940135253936223,age to maturity
sander lucioperca,4.188027050787245,age to maturity
sander lucioperca,3.490022542322704,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,6.980045084645408,age to maturity
sander lucioperca,2.0940135253936223,age to maturity
sander lucioperca,2,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,5,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,4,age to maturity
sander lucioperca,3,age to maturity
sander lucioperca,2.0940135253936223,age to maturity
sander lucioperca,3.490022542322704,age to maturity
sander lucioperca,5,age to maturity
sander lucioperca,6.980045084645408,age to maturity
sander lucioperca,5.584036067716326,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,4.188027050787245,age to maturity
sander lucioperca,6,age to maturity
sander lucioperca,4.099999904632568,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,2.792018033858163,age to maturity
sander lucioperca,3.490022542322704,age to maturity
sander vitreus,4.188027050787245,age to maturity
sander vitreus,2.792018033858163,age to maturity
sander vitreus,3,age to maturity
sander vitreus,2,age to maturity
sander vitreus,5,age to maturity
sander vitreus,5,age to maturity
sander vitreus,7,age to maturity
sander vitreus,3.406262081187236,age to maturity
sander vitreus,3.490022542322704,age to maturity
sander vitreus,2.0940135253936223,age to maturity
sander vitreus,3.490022542322704,age to maturity
sander vitreus,2.792018033858163,age to maturity
sander vitreus,7.890609716693042,age to maturity
sander volgensis,2.792018033858163,age to maturity
sarcocheilichthys czerskii,3,age to maturity
sarcocheilichthys sinensis,3,age to maturity
sarda chiliensis,2.6302032388976806,age to maturity
sarda sarda,1,age to maturity
sarda sarda,1,age to maturity
sarda sarda,1,age to maturity
sarda sarda,1,age to maturity
sardina pilchardus,2,age to maturity
sardina pilchardus,2,age to maturity
sardina pilchardus,1.7000000476837158,age to maturity
sardina pilchardus,1,age to maturity
sardina pilchardus,2,age to maturity
sardinella aurita,1,age to maturity
sardinella aurita,1,age to maturity
sardinella aurita,1.3300000429153442,age to maturity
sardinella aurita,1.0399999618530271,age to maturity
sardinella brasiliensis,1,age to maturity
sardinella longiceps,2,age to maturity
sardinella longiceps,1.9700000286102295,age to maturity
sardinella longiceps,1.899999976158142,age to maturity
sardinella maderensis,3,age to maturity
sardinella zunasi,1.3151016194488403,age to maturity
sardinops sagax,2.0940135253936223,age to maturity
sardinops sagax,1.3960090169290815,age to maturity
sardinops sagax,1.5,age to maturity
sardinops sagax,2.792018033858163,age to maturity
sardinops sagax,4,age to maturity
sargochromis carlottae,2.6302032388976806,age to maturity
sargochromis carlottae,2.6302032388976806,age to maturity
sargochromis codringtonii,1.3151016194488403,age to maturity
sargochromis codringtonii,2.6302032388976806,age to maturity
sargochromis codringtonii,2.6302032388976806,age to maturity
sargochromis giardi,2.0940135253936223,age to maturity
sargochromis giardi,2.0940135253936223,age to maturity
sarmarutilus rubilio,2.0940135253936223,age to maturity
sarmarutilus rubilio,2.6302032388976806,age to maturity
sarmarutilus rubilio,1.3151016194488403,age to maturity
sarotherodon galilaeus,2,age to maturity
sarotherodon galilaeus,2,age to maturity
sarotherodon galilaeus,1.5,age to maturity
sarotherodon galilaeus,1.5,age to maturity
sarpa salpa,2,age to maturity
saurida undosquamis,1.100000023841858,age to maturity
saurida undosquamis,1.7999999523162842,age to maturity
saurogobio dabryi,3,age to maturity
scaphirhynchus albus,19.726524291732606,age to maturity
scaphirhynchus albus,4.886031559251785,age to maturity
scaphirhynchus albus,3.945304858346521,age to maturity
scaphirhynchus platorynchus,4.886031559251785,age to maturity
scardinius acarnanicus,2.0940135253936223,age to maturity
scardinius erythrophthalmus,4,age to maturity
scardinius erythrophthalmus,3,age to maturity
scardinius erythrophthalmus,5,age to maturity
scardinius erythrophthalmus,2.792018033858163,age to maturity
scardinius erythrophthalmus,1,age to maturity
scardinius erythrophthalmus,1,age to maturity
scardinius hesperidicus,2.0940135253936223,age to maturity
schizothorax richardsonii,2.6302032388976806,age to maturity
scarus ghobban,2,age to maturity
scarus rubroviolaceus,4,age to maturity
scatophagus argus,1.3151016194488403,age to maturity
scatophagus argus,1.3151016194488403,age to maturity
schilbe intermedius,2,age to maturity
sciades herzbergii,2.0940135253936223,age to maturity
sciades herzbergii,3.945304858346521,age to maturity
sciades parkeri,2,age to maturity
sciades proops,1.9726524291732606,age to maturity
sciades sona,2,age to maturity
sciaena umbra,3,age to maturity
sciaena umbra,3,age to maturity
sciaenops ocellatus,5.260406477795361,age to maturity
sciaenops ocellatus,4.188027050787245,age to maturity
sciaenops ocellatus,4.188027050787245,age to maturity
sciaenops ocellatus,3.490022542322704,age to maturity
sciaenops ocellatus,2.0940135253936223,age to maturity
sciaenops ocellatus,2.0940135253936223,age to maturity
scleropages formosus,2.792018033858163,age to maturity
scleropages formosus,5.260406477795361,age to maturity
scleropages formosus,2.0940135253936223,age to maturity
scleropages formosus,2.0940135253936223,age to maturity
scleropages jardinii,3.490022542322704,age to maturity
scoliodon laticaudus,2.6302032388976806,age to maturity
scolopsis taeniata,1.100000023841858,age to maturity
scomber colias,0.8199999928474426,age to maturity
scomber colias,1.0499999523162842,age to maturity
scomber colias,1.0800000429153442,age to maturity
scomber japonicus,2,age to maturity
scomber japonicus,2.0940135253936223,age to maturity
scomber scombrus,2.0940135253936223,age to maturity
scomber scombrus,2.0940135253936223,age to maturity
scomber scombrus,3.5,age to maturity
scomber scombrus,1.7999999523162842,age to maturity
scomber scombrus,1.7999999523162842,age to maturity
scomber scombrus,1.7999999523162842,age to maturity
scomber scombrus,2.0940135253936223,age to maturity
scomber scombrus,2.6302032388976806,age to maturity
scomber scombrus,1.3151016194488403,age to maturity
scomber scombrus,1.5,age to maturity
scomber scombrus,2,age to maturity
scomberesox saurus,0.5,age to maturity
scomberesox scombroides,3.945304858346521,age to maturity
scomberoides commersonnianus,3.490022542322704,age to maturity
scomberoides commersonnianus,2.0940135253936223,age to maturity
scomberomorus brasiliensis,2.792018033858163,age to maturity
scomberomorus cavalla,2.6302032388976806,age to maturity
scomberomorus cavalla,2.6302032388976806,age to maturity
scomberomorus commerson,2.6302032388976806,age to maturity
scomberomorus commerson,2.6302032388976806,age to maturity
scomberomorus commerson,2.0940135253936223,age to maturity
scomberomorus commerson,2.6302032388976806,age to maturity
scomberomorus commerson,1.3151016194488403,age to maturity
scomberomorus commerson,2.4000000953674316,age to maturity
scomberomorus lineolatus,2.6302032388976806,age to maturity
scomberomorus maculatus,3,age to maturity
scomberomorus maculatus,2,age to maturity
scomberomorus munroi,1.3960090169290815,age to maturity
scomberomorus munroi,1.3960090169290815,age to maturity
scomberomorus plurilineatus,2,age to maturity
scomberomorus queenslandicus,1.3960090169290815,age to maturity
scomberomorus queenslandicus,1.3960090169290815,age to maturity
scomberomorus semifasciatus,1.3960090169290815,age to maturity
scomberomorus semifasciatus,1.3960090169290815,age to maturity
sebastes alutus,7,age to maturity
sebastes alutus,5,age to maturity
sebastes alutus,8.5,age to maturity
sebastes alutus,8.600000381469727,age to maturity
sebastes alutus,8.800000190734863,age to maturity
sebastes alutus,11.5,age to maturity
sebastes alutus,7.699999809265137,age to maturity
sebastes alutus,7,age to maturity
sebastes alutus,12.230445311709943,age to maturity
sebastes alutus,14.992157960045322,age to maturity
sebastes alutus,6.980045084645408,age to maturity
sebastes alutus,16.05410369468444,age to maturity
sebastes alutus,9.06999969482422,age to maturity
sebastes atrovirens,4,age to maturity
sebastes auriculatus,5,age to maturity
sebastes auriculatus,5,age to maturity
sebastes auriculatus,5,age to maturity
sebastes aurora,6.575508097244202,age to maturity
sebastes aurora,6.575508097244202,age to maturity
sebastes aurora,5,age to maturity
scophthalmus maximus,4,age to maturity
scophthalmus maximus,3.490022542322704,age to maturity
scophthalmus rhombus,6.575508097244202,age to maturity
scophthalmus rhombus,3,age to maturity
scorpaena guttata,2,age to maturity
scorpaena loppei,1,age to maturity
scorpaena porcus,3.945304858346521,age to maturity
scorpaena porcus,2.6302032388976806,age to maturity
scorpaena porcus,7.678049593109948,age to maturity
scorpaena porcus,4.886031559251785,age to maturity
scorpaena porcus,4.188027050787245,age to maturity
scorpaena porcus,4.188027050787245,age to maturity
scorpaena porcus,4.886031559251785,age to maturity
scorpaena porcus,5.584036067716326,age to maturity
scorpaena porcus,3,age to maturity
scorpaenichthys marmoratus,3,age to maturity
scorpis aequipinnis,14.100000381469728,age to maturity
scorpis aequipinnis,16.100000381469727,age to maturity
scyliorhinus canicula,5,age to maturity
scyliorhinus canicula,3.490022542322704,age to maturity
scyliorhinus stellaris,4,age to maturity
sebastes babcocki,4,age to maturity
sebastes babcocki,4,age to maturity
sebastes carnatus,4,age to maturity
sebastes carnatus,5,age to maturity
sebastes caurinus,6,age to maturity
sebastes caurinus,4,age to maturity
sebastes caurinus,4,age to maturity
sebastes chlorostictus,6,age to maturity
sebastes chlorostictus,6,age to maturity
sebastes chlorostictus,6,age to maturity
sebastes chrysomelas,3,age to maturity
sebastes chrysomelas,3,age to maturity
sebastes chrysomelas,4,age to maturity
sebastes constellatus,6,age to maturity
sebastes constellatus,7,age to maturity
sebastes constellatus,7,age to maturity
sebastes crameri,4,age to maturity
sebastes crameri,4,age to maturity
sebastes crameri,8.399999618530273,age to maturity
sebastes crameri,5.099999904632568,age to maturity
sebastes crameri,7,age to maturity
sebastes dallii,3,age to maturity
sebastes diploproa,7,age to maturity
sebastes diploproa,9,age to maturity
sebastes diploproa,5,age to maturity
sebastes diploproa,9,age to maturity
sebastes elongatus,7,age to maturity
sebastes elongatus,7,age to maturity
sebastes elongatus,9,age to maturity
sebastes emphaeus,1.8700000047683716,age to maturity
sebastes entomelas,5,age to maturity
sebastes entomelas,5,age to maturity
sebastes entomelas,5.260406477795361,age to maturity
sebastes entomelas,6,age to maturity
sebastes fasciatus,5.5,age to maturity
sebastes fasciatus,5.5,age to maturity
sebastes flavidus,7,age to maturity
sebastes flavidus,7,age to maturity
sebastes flavidus,6,age to maturity
sebastes flavidus,6,age to maturity
sebastes flavidus,10.470067626968111,age to maturity
sebastes glaucus,5.584036067716326,age to maturity
sebastes goodei,3,age to maturity
sebastes goodei,3,age to maturity
sebastes goodei,4.886031559251785,age to maturity
sebastes goodei,5.260406477795361,age to maturity
sebastes helvomaculatus,8,age to maturity
sebastes helvomaculatus,7,age to maturity
sebastes helvomaculatus,10,age to maturity
sebastes hopkinsi,5,age to maturity
sebastes hopkinsi,5,age to maturity
sebastes hopkinsi,5,age to maturity
sebastes jordani,3,age to maturity
sebastes jordani,2,age to maturity
sebastes jordani,2.5,age to maturity
sebastes levis,4,age to maturity
sebastes levis,4,age to maturity
sebastes levis,11,age to maturity
sebastes levis,12,age to maturity
sebastes maliger,6,age to maturity
sebastes maliger,4,age to maturity
sebastes maliger,7,age to maturity
sebastes melanops,8.37605410157449,age to maturity
sebastes melanops,7,age to maturity
sebastes melanops,9.07405861003903,age to maturity
sebastes melanops,6,age to maturity
sebastes melanops,7.5,age to maturity
sebastes melanops,7,age to maturity
sebastes melanostomus,8,age to maturity
sebastes melanostomus,7,age to maturity
sebastes melanostomus,20,age to maturity
sebastes mentella,13,age to maturity
sebastes mentella,10,age to maturity
sebastes mentella,14.466117813937243,age to maturity
sebastes miniatus,5,age to maturity
sebastes miniatus,5,age to maturity
sebastes miniatus,6,age to maturity
sebastes minor,4,age to maturity
sebastes mystinus,3.490022542322704,age to maturity
sebastes mystinus,2.792018033858163,age to maturity
sebastes nebulosus,4,age to maturity
sebastes nebulosus,4,age to maturity
sebastes nebulosus,6,age to maturity
sebastes norvegicus,8.37605410157449,age to maturity
sebastes norvegicus,8.37605410157449,age to maturity
sebastes norvegicus,8.37605410157449,age to maturity
sebastes ovalis,4,age to maturity
sebastes ovalis,4,age to maturity
sebastes ovalis,7,age to maturity
sebastes paucispinis,4,age to maturity
sebastes paucispinis,3,age to maturity
sebastes paucispinis,4,age to maturity
sebastes pinniger,9,age to maturity
sebastes pinniger,7,age to maturity
sebastes pinniger,4.188027050787245,age to maturity
sebastes pinniger,11,age to maturity
sebastes polyspinis,7.559999942779541,age to maturity
sebastes rastrelliger,3.5,age to maturity
sebastes rosaceus,6,age to maturity
sebastes rosaceus,6,age to maturity
sebastes rosaceus,6,age to maturity
sebastes rosenblatti,12,age to maturity
sebastes ruberrimus,7,age to maturity
sebastes ruberrimus,7,age to maturity
sebastes ruberrimus,10.470067626968111,age to maturity
sebastes rubrivinctus,8,age to maturity
sebastes rubrivinctus,5,age to maturity
sebastes rufus,3,age to maturity
sebastes rufus,3,age to maturity
sebastes rufus,15,age to maturity
sebastes saxicola,2,age to maturity
sebastes saxicola,3,age to maturity
sebastes saxicola,5.260406477795361,age to maturity
sebastes saxicola,5.260406477795361,age to maturity
sebastes saxicola,6,age to maturity
sebastes semicinctus,5,age to maturity
sebastes serranoides,5,age to maturity
sebastes serranoides,5,age to maturity
sebastes serranoides,5,age to maturity
sebastes serranoides,4,age to maturity
sebastes taczanowskii,2.792018033858163,age to maturity
sebastes trivittatus,3.490022542322704,age to maturity
sebastes variabilis,9.199999809265137,age to maturity
sebastes viviparus,26.30203238897681,age to maturity
sebastolobus alascanus,13,age to maturity
sebastolobus altivelis,6,age to maturity
sebastolobus macrochir,9.77206311850357,age to maturity
sebastolobus macrochir,9.77206311850357,age to maturity
semicossyphus pulcher,4.25,age to maturity
semotilus atromaculatus,2.5,age to maturity
semotilus atromaculatus,3.5,age to maturity
semotilus atromaculatus,3.5,age to maturity
seriola dumerili,4,age to maturity
seriola dumerili,3.5,age to maturity
seriola dumerili,3.490022542322704,age to maturity
seriola dumerili,4,age to maturity
seriola lalandi,2.6302032388976806,age to maturity
seriolella brama,2.792018033858163,age to maturity
seriolella punctata,2.792018033858163,age to maturity
seriphus politus,1.3960090169290815,age to maturity
seriphus politus,2,age to maturity
serranochromis angusticeps,3.945304858346521,age to maturity
serranochromis angusticeps,3.945304858346521,age to maturity
serranochromis macrocephalus,2.6302032388976806,age to maturity
serranochromis robustus,3.945304858346521,age to maturity
serranochromis robustus,3.945304858346521,age to maturity
serranus hepatus,3,age to maturity
siganus argenteus,1.3151016194488403,age to maturity
siganus canaliculatus,1,age to maturity
siganus canaliculatus,1,age to maturity
siganus canaliculatus,2,age to maturity
siganus canaliculatus,2,age to maturity
siganus lineatus,2,age to maturity
siganus rivulatus,1,age to maturity
siganus rivulatus,2,age to maturity
sillaginodes punctatus,2.792018033858163,age to maturity
sillaginodes punctatus,2.792018033858163,age to maturity
sillago aeolus,1,age to maturity
sillago aeolus,0.800000011920929,age to maturity
