category,trait,trait_value,trait_val_clean,spp_gp,sheet,cat_vals
r (reproductive traits),parental investment,unkown,unkown,Tridacna maxima,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Tridacna maxima,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Tridacna maxima,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Tridacna maxima,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Tridacna maxima,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.2,7882,Tridacna maxima,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Tridacna maxima,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Tridacna maxima,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Tridacna maxima,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic,benthic,Tridacna maxima,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Tridacna maxima,molluscs,NA
specialisation,extreme diet specialization,No,no,Tridacna maxima,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Tridacna maxima,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Tridacna maxima,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Tridacna maxima,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Tridacna maxima,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Tridacna maxima,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Tridacna maxima,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Tridacna maxima,molluscs,NA
biophysical traits,respiration structures,No,no,Tridacna maxima,molluscs,NA
movement,planktonic larval duration (pld),sessile,sessile,Cerastoderma edule,molluscs,NA
r (reproductive traits),fecundity,Sexual hermaphrodite (protandric),sexualhermaphroditeprotandric,Cerastoderma edule,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,>10 000,>10000,Cerastoderma edule,molluscs,NA
r (reproductive traits),age to 1st reproduction/generation time,unkown,unkown,Cerastoderma edule,molluscs,NA
r (reproductive traits),parental investment,unkown,unkown,Cerastoderma edule,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Cerastoderma edule,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Cerastoderma edule,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Cerastoderma edule,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Cerastoderma edule,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.2,7882,Cerastoderma edule,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Cerastoderma edule,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Cerastoderma edule,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Cerastoderma edule,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic,benthic,Cerastoderma edule,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Cerastoderma edule,molluscs,NA
specialisation,extreme diet specialization,No,no,Cerastoderma edule,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Cerastoderma edule,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Cerastoderma edule,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Cerastoderma edule,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Cerastoderma edule,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Cerastoderma edule,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Cerastoderma edule,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Cerastoderma edule,molluscs,NA
biophysical traits,respiration structures,No,no,Cerastoderma edule,molluscs,NA
movement,planktonic larval duration (pld),sessile,sessile,Acesta excavata,molluscs,NA
r (reproductive traits),fecundity,Sexual hermaphrodite (suspected protandric),sexualhermaphroditesuspectedprotandric,Acesta excavata,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,>10 000,>10000,Acesta excavata,molluscs,NA
r (reproductive traits),age to 1st reproduction/generation time,unkown,unkown,Acesta excavata,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Acesta excavata,molluscs,NA
r (reproductive traits),parental investment,unkown,unkown,Acesta excavata,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Acesta excavata,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Acesta excavata,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Acesta excavata,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Acesta excavata,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.2,7882,Acesta excavata,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Acesta excavata,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Acesta excavata,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Acesta excavata,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic,benthic,Acesta excavata,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Acesta excavata,molluscs,NA
specialisation,extreme diet specialization,No,no,Acesta excavata,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Acesta excavata,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Acesta excavata,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Acesta excavata,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Acesta excavata,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Acesta excavata,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Acesta excavata,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Acesta excavata,molluscs,NA
biophysical traits,respiration structures,No,no,Acesta excavata,molluscs,NA
movement,planktonic larval duration (pld),sessile,sessile,Bankia setacea,molluscs,NA
r (reproductive traits),fecundity,Sexual hermaphrodite (suspected protandric),sexualhermaphroditesuspectedprotandric,Bankia setacea,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,>10 000,>10000,Bankia setacea,molluscs,NA
r (reproductive traits),age to 1st reproduction/generation time,unkown,unkown,Bankia setacea,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Bankia setacea,molluscs,NA
r (reproductive traits),parental investment,unkown,unkown,Bankia setacea,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Bankia setacea,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Bankia setacea,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Bankia setacea,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Bankia setacea,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.3,7883,Bankia setacea,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Bankia setacea,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Bankia setacea,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Bankia setacea,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic/submerged timber,benthicsubmergedtimber,Bankia setacea,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Bankia setacea,molluscs,NA
specialisation,extreme diet specialization,No,no,Bankia setacea,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Bankia setacea,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Bankia setacea,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Bankia setacea,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Bankia setacea,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Bankia setacea,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Bankia setacea,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Bankia setacea,molluscs,NA
biophysical traits,respiration structures,No,no,Bankia setacea,molluscs,NA
movement,planktonic larval duration (pld),sessile,sessile,Plebidonax deltoides,molluscs,NA
r (reproductive traits),fecundity,Sexual hermaphrodite (suspected protandric),sexualhermaphroditesuspectedprotandric,Plebidonax deltoides,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,>10 000,>10000,Plebidonax deltoides,molluscs,NA
r (reproductive traits),age to 1st reproduction/generation time,unkown,unkown,Plebidonax deltoides,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Plebidonax deltoides,molluscs,NA
r (reproductive traits),parental investment,unkown,unkown,Plebidonax deltoides,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Plebidonax deltoides,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Plebidonax deltoides,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Plebidonax deltoides,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Plebidonax deltoides,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.3,7883,Plebidonax deltoides,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Plebidonax deltoides,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Plebidonax deltoides,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Plebidonax deltoides,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic/soft sediment,benthicsoftsediment,Plebidonax deltoides,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Plebidonax deltoides,molluscs,NA
specialisation,extreme diet specialization,No,no,Plebidonax deltoides,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Plebidonax deltoides,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Plebidonax deltoides,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Plebidonax deltoides,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Plebidonax deltoides,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Plebidonax deltoides,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Plebidonax deltoides,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Plebidonax deltoides,molluscs,NA
biophysical traits,respiration structures,No,no,Plebidonax deltoides,molluscs,NA
movement,planktonic larval duration (pld),sessile,sessile,Siliqua patula,molluscs,NA
r (reproductive traits),fecundity,Sexual hermaphrodite (suspected protandric),sexualhermaphroditesuspectedprotandric,Siliqua patula,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,>10 000,>10000,Siliqua patula,molluscs,NA
r (reproductive traits),age to 1st reproduction/generation time,unkown,unkown,Siliqua patula,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Siliqua patula,molluscs,NA
r (reproductive traits),parental investment,unkown,unkown,Siliqua patula,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Siliqua patula,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Siliqua patula,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Siliqua patula,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Siliqua patula,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.3,7883,Siliqua patula,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Siliqua patula,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Siliqua patula,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Siliqua patula,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic/soft sediment,benthicsoftsediment,Siliqua patula,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Siliqua patula,molluscs,NA
specialisation,extreme diet specialization,No,no,Siliqua patula,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Siliqua patula,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Siliqua patula,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Siliqua patula,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Siliqua patula,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Siliqua patula,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Siliqua patula,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Siliqua patula,molluscs,NA
biophysical traits,respiration structures,No,no,Siliqua patula,molluscs,NA
movement,planktonic larval duration (pld),sessile,sessile,Pinna bicolor,molluscs,NA
r (reproductive traits),fecundity,Sexual hermaphrodite (suspected protandric),sexualhermaphroditesuspectedprotandric,Pinna bicolor,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,>10 000,>10000,Pinna bicolor,molluscs,NA
r (reproductive traits),age to 1st reproduction/generation time,unkown,unkown,Pinna bicolor,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Pinna bicolor,molluscs,NA
r (reproductive traits),parental investment,unkown,unkown,Pinna bicolor,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Pinna bicolor,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Pinna bicolor,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Pinna bicolor,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Pinna bicolor,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.3,7883,Pinna bicolor,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Pinna bicolor,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Pinna bicolor,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Pinna bicolor,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic/soft sediment,benthicsoftsediment,Pinna bicolor,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Pinna bicolor,molluscs,NA
specialisation,extreme diet specialization,No,no,Pinna bicolor,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Pinna bicolor,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Pinna bicolor,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Pinna bicolor,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Pinna bicolor,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Pinna bicolor,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Pinna bicolor,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Pinna bicolor,molluscs,NA
biophysical traits,respiration structures,No,no,Pinna bicolor,molluscs,NA
movement,planktonic larval duration (pld),sessile,sessile,Panopea generosa,molluscs,NA
r (reproductive traits),fecundity,Sexual hermaphrodite (suspected protandric),sexualhermaphroditesuspectedprotandric,Panopea generosa,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,>10 000,>10000,Panopea generosa,molluscs,NA
r (reproductive traits),age to 1st reproduction/generation time,unkown,unkown,Panopea generosa,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Panopea generosa,molluscs,NA
r (reproductive traits),parental investment,unkown,unkown,Panopea generosa,molluscs,NA
r (reproductive traits),post-birth/hatching parental dependence,Spawner,spawner,Panopea generosa,molluscs,NA
r (reproductive traits),global population size,feeding,feeding,Panopea generosa,molluscs,NA
r (reproductive traits),are there sub-populations?,>1M,>1m,Panopea generosa,molluscs,NA
physiological tolerance breadths,salinity,broad,broad,Panopea generosa,molluscs,NA
physiological tolerance breadths,dissolved oxygen,7.8-8.3,7883,Panopea generosa,molluscs,NA
physiological tolerance breadths,sensitivity to wave energy (physical forcing),medium tolerance,mediumtolerance,Panopea generosa,molluscs,NA
specialisation,light dependence,Not sensitive,notsensitive,Panopea generosa,molluscs,NA
specialisation,within-stage dependent habitats + condition,No,no,Panopea generosa,molluscs,NA
specialisation,across-stage dependent habitats + condition,Benthic/soft sediment,benthicsoftsediment,Panopea generosa,molluscs,NA
specialisation,terrestrial and marine life stages,Surface Water,surfacewater,Panopea generosa,molluscs,NA
specialisation,extreme diet specialization,No,no,Panopea generosa,molluscs,NA
specialisation,dependent interspecific interactions,Generalist,generalist,Panopea generosa,molluscs,NA
breeding/nesting range/number of spawning aggregations (fish),number of sites,No,no,Panopea generosa,molluscs,NA
biophysical traits,calcium carbonate structure location,50-999mm,50999mm,Panopea generosa,molluscs,NA
biophysical traits,calcium carbonate structure stages,External with cover,externalwithcover,Panopea generosa,molluscs,NA
biophysical traits,biomineral,"Adult, larvae",adultlarvae,Panopea generosa,molluscs,NA
biophysical traits,flight,Aragonite,aragonite,Panopea generosa,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Panopea generosa,molluscs,NA
biophysical traits,respiration structures,No,no,Panopea generosa,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Tenguella marginalba,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Tenguella marginalba,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Tenguella marginalba,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Tenguella marginalba,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Tenguella marginalba,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Tenguella marginalba,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Tenguella marginalba,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Cellana tramoserica,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Cellana tramoserica,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Cellana tramoserica,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Cellana tramoserica,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Cellana tramoserica,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Cellana tramoserica,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Cellana tramoserica,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Austrocochlea porcata,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Austrocochlea porcata,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Austrocochlea porcata,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Austrocochlea porcata,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Austrocochlea porcata,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Austrocochlea porcata,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Austrocochlea porcata,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Subninella undulata,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Subninella undulata,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Subninella undulata,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Subninella undulata,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Subninella undulata,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Subninella undulata,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Subninella undulata,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Haliotis coccoradiata,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Haliotis coccoradiata,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Haliotis coccoradiata,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Haliotis coccoradiata,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Haliotis coccoradiata,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Haliotis coccoradiata,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Haliotis coccoradiata,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Haliotis rubra,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Haliotis rubra,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Haliotis rubra,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Haliotis rubra,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Haliotis rubra,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Haliotis rubra,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Haliotis rubra,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Haliotis kamschatkana,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Haliotis kamschatkana,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Haliotis kamschatkana,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Haliotis kamschatkana,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Haliotis kamschatkana,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Haliotis kamschatkana,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Haliotis kamschatkana,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Turbo militaris,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Turbo militaris,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Turbo militaris,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Turbo militaris,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Turbo militaris,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Turbo militaris,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Turbo militaris,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Tectura scutum,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Tectura scutum,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Tectura scutum,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Tectura scutum,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Tectura scutum,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Tectura scutum,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Calliostoma ligatum,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Calliostoma ligatum,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Calliostoma ligatum,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Calliostoma ligatum,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Calliostoma ligatum,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Calliostoma ligatum,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Tegula funebralis,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Tegula funebralis,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Tegula funebralis,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Tegula funebralis,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Tegula funebralis,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Tegula funebralis,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Trochus niloticus,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Trochus niloticus,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Trochus niloticus,molluscs,NA
biophysical traits,calcium carbonate structure location,External with cover,externalwithcover,Trochus niloticus,molluscs,NA
biophysical traits,calcium carbonate structure stages,"Adult, larvae",adultlarvae,Trochus niloticus,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Trochus niloticus,molluscs,NA
movement,planktonic larval duration (pld),no larvae,nolarvae,Cadlina luteomarginata,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Cadlina luteomarginata,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Cadlina luteomarginata,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Cadlina luteomarginata,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Cadlina luteomarginata,molluscs,NA
movement,planktonic larval duration (pld),no larvae,nolarvae,Aeolidia papillosa,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Aeolidia papillosa,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Aeolidia papillosa,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Aeolidia papillosa,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Aeolidia papillosa,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Aplysia vaccaria,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Aplysia vaccaria,molluscs,NA
r (reproductive traits),parental investment,egg-layer (unattended)- eggs hatch into feeding larvae,egglayerunattendedeggshatchintofeedinglarvae,Aplysia vaccaria,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Aplysia vaccaria,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Aplysia vaccaria,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Aplysia vaccaria,molluscs,NA
r (reproductive traits),lifetime # reproductive opportunities,unkown,unkown,Aplysia californica,molluscs,NA
r (reproductive traits),max age,unkown,unkown,Aplysia californica,molluscs,NA
r (reproductive traits),parental investment,egg-layer (unattended)- eggs hatch into feeding larvae,egglayerunattendedeggshatchintofeedinglarvae,Aplysia californica,molluscs,NA
specialisation,within-stage dependent habitats + condition,Rock Intertidal/ Rocky Reef,rockintertidalrockyreef,Aplysia californica,molluscs,NA
biophysical traits,adult body mass/body size,50-999mm,50999mm,Aplysia californica,molluscs,NA
biophysical traits,extreme pressure wave sensitive structures,No,no,Aplysia californica,molluscs,NA
r (reproductive traits),reproductive strategy,sexual hermaphorodite,sexualhermaphorodite,Avicennia marina,plants_algae,NA
r (reproductive traits),max age,>100 years,>100years,Avicennia marina,plants_algae,NA
r (reproductive traits),feeding larva (post-hatching metamorphosis),yes (photosyntehtic),yesphotosyntehtic,Avicennia marina,plants_algae,NA
r (reproductive traits),global population size,>100k,>100k,Avicennia marina,plants_algae,NA
specialisation,light dependence,yes (photosyntehtic),yesphotosyntehtic,Avicennia marina,plants_algae,NA
